City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,barcelona,0,ES,1518184800,100,41.38,2.18,50.0,10.29
1,thompson,75,CA,1518184800,64,55.74,-97.86,1.4,13.87
2,antalaha,20,MG,1518185691,77,-14.9,50.28,82.58,13.29
3,airai,88,TL,1518185691,97,-8.93,125.41,71.02,0.69
4,yellowknife,20,CA,1518184800,71,62.45,-114.38,6.8,18.34
5,adrar,0,DZ,1518184800,21,27.87,-0.29,62.6,20.8
6,dikson,56,RU,1518185692,86,73.51,80.55,18.5,25.59
7,busselton,0,AU,1518185693,100,-33.64,115.35,65.98,18.21
8,kapaa,20,US,1518180960,72,22.08,-159.32,64.4,6.93
9,punta arenas,40,CL,1518181200,97,-53.16,-70.91,46.4,14.99
10,kaitangata,92,NZ,1518185694,93,-46.28,169.85,56.3,5.61
11,krasnokamensk,32,RU,1518185695,55,50.1,118.04,-12.73,5.23
12,moreira sales,76,BR,1518185695,54,-24.05,-53.01,88.88,10.09
13,atuona,32,PF,1518185695,100,-9.8,-139.03,80.87,18.1
14,nikolskoye,90,RU,1518183000,85,59.7,30.79,24.8,2.24
15,truth or consequences,1,US,1518184380,27,33.13,-107.25,41.0,5.82
16,hualmay,12,PE,1518185696,70,-11.1,-77.61,75.65,4.34
17,bethel,1,US,1518184380,63,60.79,-161.76,26.6,10.29
18,torbay,75,CA,1518184800,79,47.66,-52.73,21.2,11.41
19,rikitea,56,PF,1518185698,100,-23.12,-134.97,77.05,6.62
20,zabol,0,IR,1518181200,5,31.03,61.49,57.2,11.41
21,basco,75,US,1518183300,85,40.33,-91.2,33.8,9.17
22,ponta delgada,40,PT,1518184800,88,37.73,-25.67,62.6,11.41
23,cabra,0,ES,1518184800,43,37.47,-4.43,51.8,3.36
24,castro,92,CL,1518185510,98,-42.48,-73.76,52.97,8.86
25,dawlatabad,20,AF,1518185700,81,36.41,64.91,27.95,2.04
26,tigil,80,RU,1518185700,88,57.8,158.67,19.45,5.28
27,port alfred,24,ZA,1518185701,75,-33.59,26.89,78.98,6.06
28,lebu,0,ET,1518185701,14,8.96,38.73,70.57,7.29
29,bluff,0,AU,1518185701,63,-23.58,149.07,66.02,6.73
30,hamada,92,JP,1518185702,88,34.9,132.08,45.55,9.75
31,lima,0,PE,1518185704,64,-12.06,-77.04,70.03,1.7
32,kitimat,5,CA,1518184800,72,54.02,-128.69,15.8,20.8
33,bichura,44,RU,1518185705,64,50.59,107.6,-10.17,3.49
34,upernavik,0,GL,1518185706,100,72.79,-56.15,-8.82,6.62
35,pochutla,75,MX,1518180420,100,15.74,-96.47,73.4,1.25
36,cherskiy,64,RU,1518185707,72,68.75,161.3,-6.03,1.88
37,saint-philippe,90,CA,1518184500,72,45.36,-73.48,14.0,8.41
38,pedernales,88,EC,1518185707,100,0.07,-80.05,73.58,4.38
39,vaini,92,IN,1518185708,47,15.34,74.49,73.27,4.38
40,puerto ayora,75,EC,1518181200,83,-0.74,-90.35,75.2,4.7
41,xudat,64,AZ,1518185708,93,41.63,48.68,38.35,2.26
42,ushuaia,75,AR,1518181200,75,-54.81,-68.31,48.2,26.4
43,volary,24,CZ,1518185709,95,48.91,13.89,29.3,3.0
44,kaduqli,0,SD,1518185710,50,11.01,29.72,91.27,2.26
45,hermanus,0,ZA,1518185710,40,-34.42,19.24,79.03,12.62
46,jamestown,0,AU,1518185711,73,-33.21,138.6,70.52,1.1
47,ayorou,56,NE,1518185711,22,14.73,0.92,84.52,15.79
48,qaanaaq,56,GL,1518185711,89,77.48,-69.36,-15.7,5.61
49,vila velha,75,BR,1518184800,66,-3.71,-38.6,86.0,13.87
50,hasaki,0,JP,1518183000,69,35.73,140.83,37.4,1.12
51,shimoda,48,JP,1518185712,100,34.7,138.93,48.92,16.98
52,sterling,90,US,1518184920,86,39.0,-77.4,30.2,4.56
53,gamba,0,CN,1518185713,65,28.28,88.52,-0.18,3.56
54,sao filipe,20,CV,1518185713,95,14.9,-24.5,69.76,21.83
55,tome,0,JP,1518185714,80,38.69,141.2,28.72,4.0
56,sept-iles,90,CA,1518183960,70,50.2,-66.38,-4.01,8.05
57,codrington,0,AU,1518185714,93,-28.95,153.24,59.99,2.21
58,jalu,92,LY,1518185714,29,29.03,21.55,81.95,8.86
